Bug ID,Test Scenario,Preconditions,Steps to Execute,Expected Result,Actual Result,Severity 
TC001,Verify that the Contact form opens,User is on the homepage,1. Click on the 'Contact' button in the top menu.,The contact form should appear as a modal popup.,work as expected ,pass
TC002,Send a message with valid data,Contact form is open,"1. Enter a valid email.
2. Enter a valid name.
3. Enter a message.
4. Click the 'Send message' button.",A success alert should appear confirming the message was sent.,work as expected ,pass
TC003,Attempt to send a message without filling any fields,Contact form is open,"1. Leave all fields empty.
2. Click the 'Send message' button.",The system should prevent submission or display a validation error.,,fail 
TC004,Validate email format,Contact form is open,"1. Enter an invalid email (e.g., 'test@com').
2. Fill in the other fields correctly.
3. Click 'Send message'.",The system should prevent submission and show an email format error.,,fail
TC005,Enter an excessively long name,Contact form is open,"1. Enter a name longer than 100 characters.
2. Fill in the other fields correctly.
3. Click 'Send message'.",The system should either truncate the name or display an error.,,fail
TC006,Test for XSS vulnerability,Contact form is open,"1. Enter `<script>alert('XSS')</script>` in the message field.
2. Fill in other fields correctly.
3. Click 'Send message'.",The system should sanitize input and prevent JavaScript execution.,,fail
TC007,Verify that the Contact form closes properly,Contact form is open,1. Click the close button (X).,The contact form should close successfully.,work as expected ,pass
TC008,Check if the form allows special characters in the name field,Contact form is open,"1. Enter special characters (e.g., `@#$%^&*()`) in the name field.
2. Fill in the other fields correctly.
3. Click 'Send message'.",The system should allow or reject special characters based on validation rules.,,fail
TC009,Verify error message for an empty message field,Contact form is open,"1. Enter a valid email.
2. Enter a valid name.
3. Leave the message field empty.
4. Click 'Send message'.",The system should show an error message indicating that the message field is required.,,fail
TC010,Verify form submission without email,Contact form is open,"1. Leave the email field empty.
2. Fill in the other fields correctly.
3. Click 'Send message'.",The system should prevent submission and display an error.,,fail
TC011,Verify form submission without name,Contact form is open,"1. Leave the name field empty.
2. Fill in the other fields correctly.
3. Click 'Send message'.",The system should prevent submission and display an error.,,fail
TC012,Check if email field allows only valid email formats,Contact form is open,"1. Enter an email without '@' or domain.
2. Fill in the other fields correctly.
3. Click 'Send message'.",The system should prevent submission and display an error.,,fail
TC013,Verify that the form retains input after an error,Contact form is open,"1. Enter an invalid email.
2. Enter a valid name and message.
3. Click 'Send message'.
4. Fix the email and try again.",The system should retain previously entered data.,,fail
TC014,Verify that clicking outside the Contact form closes it,Contact form is open,1. Click anywhere outside the form.,The contact form should close.,work as expected ,pass
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
